name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
A1	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A2	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A3	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A4	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A5	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A6	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A7	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A8	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A9	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A10	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A11	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A12	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A13	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A14	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A15	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A16	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A17	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A18	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A19	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A20	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A21	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A22	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A23	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A24	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A25	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A26	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A27	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A28	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A29	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A30	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A31	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A32	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A33	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A34	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A35	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A36	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A37	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A38	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A39	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A40	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A41	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A42	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A43	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A44	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A45	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A46	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A47	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A48	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A49	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A50	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A51	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A52	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A53	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A54	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A55	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A56	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A57	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A58	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A59	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A60	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A61	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A62	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A63	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A64	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B1	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B2	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B3	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B4	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B5	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B6	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B7	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B8	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B9	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B10	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B11	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
